Driver ID,Policy Number,Effective Date,Expire Date,Terminated 
21171521,GC1582083016433,01/01/2020 00:00:00,30/12/2020 23:59:59,DRIVER_RESIGNED_CANCEL
5256240,GC5000002,02/02/2021 00:00:00,01/02/2022 23:59:59,DRIVER_RESIGNED_CANCEL
5256241,GC5000003,12/02/2021 00:00:00,31/02/2022 23:59:59,DRIVER_RESIGNED_CANCEL
5256241,GC5000004,12/02/2021 00:00:01,31/02/2022 23:59:60,DRIVER_RESIGNED_CANCEL
5256241,GC5000005,12/02/2021 00:00:02,31/02/2022 23:59:61,DRIVER_RESIGNED_CANCEL
5256241,GC5000006,12/02/2021 00:00:03,31/02/2022 23:59:62,DRIVER_RESIGNED_CANCEL
5256241,GC5000007,12/02/2021 00:00:04,31/02/2022 23:59:63,DRIVER_RESIGNED_CANCEL
5256241,GC5000008,12/02/2021 00:00:05,31/02/2022 23:59:64,DRIVER_RESIGNED_CANCEL
5256241,GC5000009,12/02/2021 00:00:06,31/02/2022 23:59:65,DRIVER_RESIGNED_CANCEL
5256241,GC5000010,12/02/2021 00:00:07,31/02/2022 23:59:66,DRIVER_RESIGNED_CANCEL
5256241,GC5000011,12/02/2021 00:00:08,31/02/2022 23:59:67,DRIVER_RESIGNED_CANCEL
5256241,GC5000012,12/02/2021 00:00:09,31/02/2022 23:59:68,DRIVER_RESIGNED_CANCEL
5256241,GC5000013,12/02/2021 00:00:10,31/02/2022 23:59:69,DRIVER_RESIGNED_CANCEL
5256241,GC5000014,12/02/2021 00:00:11,31/02/2022 23:59:70,DRIVER_RESIGNED_CANCEL
5256241,GC5000015,12/02/2021 00:00:12,31/02/2022 23:59:71,DRIVER_RESIGNED_CANCEL
5256241,GC5000016,12/02/2021 00:00:13,31/02/2022 23:59:72,DRIVER_RESIGNED_CANCEL
5256241,GC5000017,12/02/2021 00:00:14,31/02/2022 23:59:73,DRIVER_RESIGNED_CANCEL
5256241,GC5000018,12/02/2021 00:00:15,31/02/2022 23:59:74,DRIVER_RESIGNED_CANCEL
5256241,GC5000019,12/02/2021 00:00:16,31/02/2022 23:59:75,DRIVER_RESIGNED_CANCEL
5256241,GC5000020,12/02/2021 00:00:17,31/02/2022 23:59:76,DRIVER_RESIGNED_CANCEL
5256241,GC5000021,12/02/2021 00:00:18,31/02/2022 23:59:77,DRIVER_RESIGNED_CANCEL
5256241,GC5000022,12/02/2021 00:00:19,31/02/2022 23:59:78,DRIVER_RESIGNED_CANCEL
5256241,GC5000023,12/02/2021 00:00:20,31/02/2022 23:59:79,DRIVER_RESIGNED_CANCEL
5256241,GC5000024,12/02/2021 00:00:21,31/02/2022 23:59:80,DRIVER_RESIGNED_CANCEL
5256241,GC5000025,12/02/2021 00:00:22,31/02/2022 23:59:81,DRIVER_RESIGNED_CANCEL
5256241,GC5000026,12/02/2021 00:00:23,31/02/2022 23:59:82,DRIVER_RESIGNED_CANCEL
5256241,GC5000027,12/02/2021 00:00:24,31/02/2022 23:59:83,DRIVER_RESIGNED_CANCEL
5256241,GC5000028,12/02/2021 00:00:25,31/02/2022 23:59:84,DRIVER_RESIGNED_CANCEL
5256241,GC5000029,12/02/2021 00:00:26,31/02/2022 23:59:85,DRIVER_RESIGNED_CANCEL
5256241,GC5000030,12/02/2021 00:00:27,31/02/2022 23:59:86,DRIVER_RESIGNED_CANCEL
5256241,GC5000031,12/02/2021 00:00:28,31/02/2022 23:59:87,DRIVER_RESIGNED_CANCEL
5256241,GC5000032,12/02/2021 00:00:29,31/02/2022 23:59:88,DRIVER_RESIGNED_CANCEL
5256241,GC5000033,12/02/2021 00:00:30,31/02/2022 23:59:89,DRIVER_RESIGNED_CANCEL
5256241,GC5000034,12/02/2021 00:00:31,31/02/2022 23:59:90,DRIVER_RESIGNED_CANCEL
5256241,GC5000035,12/02/2021 00:00:32,31/02/2022 23:59:91,DRIVER_RESIGNED_CANCEL
5256241,GC5000036,12/02/2021 00:00:33,31/02/2022 23:59:92,DRIVER_RESIGNED_CANCEL
5256241,GC5000037,12/02/2021 00:00:34,31/02/2022 23:59:93,DRIVER_RESIGNED_CANCEL
5256241,GC5000038,12/02/2021 00:00:35,31/02/2022 23:59:94,DRIVER_RESIGNED_CANCEL
5256241,GC5000039,12/02/2021 00:00:36,31/02/2022 23:59:95,DRIVER_RESIGNED_CANCEL
5256241,GC5000040,12/02/2021 00:00:37,31/02/2022 23:59:96,DRIVER_RESIGNED_CANCEL
5256241,GC5000041,12/02/2021 00:00:38,31/02/2022 23:59:97,DRIVER_RESIGNED_CANCEL
5256241,GC5000042,12/02/2021 00:00:39,31/02/2022 23:59:98,DRIVER_RESIGNED_CANCEL
5256241,GC5000043,12/02/2021 00:00:40,31/02/2022 23:59:99,DRIVER_RESIGNED_CANCEL
5256241,GC5000044,12/02/2021 00:00:41,31/02/2022 23:59:100,DRIVER_RESIGNED_CANCEL
5256241,GC5000045,12/02/2021 00:00:42,31/02/2022 23:59:101,DRIVER_RESIGNED_CANCEL
5256241,GC5000046,12/02/2021 00:00:43,31/02/2022 23:59:102,DRIVER_RESIGNED_CANCEL
5256241,GC5000047,12/02/2021 00:00:44,31/02/2022 23:59:103,DRIVER_RESIGNED_CANCEL
5256241,GC5000048,12/02/2021 00:00:45,31/02/2022 23:59:104,DRIVER_RESIGNED_CANCEL
5256241,GC5000049,12/02/2021 00:00:46,31/02/2022 23:59:105,DRIVER_RESIGNED_CANCEL
5256241,GC5000050,12/02/2021 00:00:47,31/02/2022 23:59:106,DRIVER_RESIGNED_CANCEL
5256241,GC5000051,12/02/2021 00:00:48,31/02/2022 23:59:107,DRIVER_RESIGNED_CANCEL
5256241,GC5000052,12/02/2021 00:00:49,31/02/2022 23:59:108,DRIVER_RESIGNED_CANCEL
5256241,GC5000053,12/02/2021 00:00:50,31/02/2022 23:59:109,DRIVER_RESIGNED_CANCEL
5256241,GC5000054,12/02/2021 00:00:51,31/02/2022 23:59:110,DRIVER_RESIGNED_CANCEL
5256241,GC5000055,12/02/2021 00:00:52,31/02/2022 23:59:111,DRIVER_RESIGNED_CANCEL
5256241,GC5000056,12/02/2021 00:00:53,31/02/2022 23:59:112,DRIVER_RESIGNED_CANCEL
5256241,GC5000057,12/02/2021 00:00:54,31/02/2022 23:59:113,DRIVER_RESIGNED_CANCEL
5256241,GC5000058,12/02/2021 00:00:55,31/02/2022 23:59:114,DRIVER_RESIGNED_CANCEL
5256241,GC5000059,12/02/2021 00:00:56,31/02/2022 23:59:115,DRIVER_RESIGNED_CANCEL
5256241,GC5000060,12/02/2021 00:00:57,31/02/2022 23:59:116,DRIVER_RESIGNED_CANCEL
5256241,GC5000061,12/02/2021 00:00:58,31/02/2022 23:59:117,DRIVER_RESIGNED_CANCEL
5256241,GC5000062,12/02/2021 00:00:59,31/02/2022 23:59:118,DRIVER_RESIGNED_CANCEL
5256241,GC5000063,12/02/2021 00:00:60,31/02/2022 23:59:119,DRIVER_RESIGNED_CANCEL
5256241,GC5000064,12/02/2021 00:00:61,31/02/2022 23:59:120,DRIVER_RESIGNED_CANCEL
5256241,GC5000065,12/02/2021 00:00:62,31/02/2022 23:59:121,DRIVER_RESIGNED_CANCEL
5256241,GC5000066,12/02/2021 00:00:63,31/02/2022 23:59:122,DRIVER_RESIGNED_CANCEL
5256241,GC5000067,12/02/2021 00:00:64,31/02/2022 23:59:123,DRIVER_RESIGNED_CANCEL
5256241,GC5000068,12/02/2021 00:00:65,31/02/2022 23:59:124,DRIVER_RESIGNED_CANCEL
5256241,GC5000069,12/02/2021 00:00:66,31/02/2022 23:59:125,DRIVER_RESIGNED_CANCEL
5256241,GC5000070,12/02/2021 00:00:67,31/02/2022 23:59:126,DRIVER_RESIGNED_CANCEL
